star_name,Simbad_ID,GaiaDR3_ID,distance_pc,ra_combined,dec_combined
RX J190333+10439,RX J190333+10439,Gaia DR3 4312555805552426496,670.5692749023438,285.890351499404,10.73343289785903
2MASS J19301355+1832024,2MASS J19301355+1832024,Gaia DR3 4323329438956658432,,292.55649874822103,18.533991985926967
IPHAS J193038.84+183909.8,IPHAS J193038.84+183909.8,Gaia DR3 4323332329499518848,7352.941176470587,292.661813024306,18.652701810508734
V* V2507 Oph,Wa Oph 4,Gaia DR3 4326516579568189568,127.45790100097656,252.07498290781626,-14.187834161738065
2MASS J16490082-1417108,2MASS J16490082-1417108,Gaia DR3 4326534485289519104,118.32219132698339,252.25333774835056,-14.286419427502903
G  19-7,G  19-7,Gaia DR3 4365609170043180416,8.706000328063965,254.27604768745735,-4.350649323558728
UCAC4 416-062694,UCAC4 416-062694,Gaia DR3 4397045027810215424,117.84429931640625,233.95560349148116,-6.957792914051912
V* PX Ser,V* PX Ser,Gaia DR3 4449776750782934528,190.8961944580078,242.408530761546,5.876967826689968
Gaia DR3 4495002202356966400,,Gaia DR3 4495002202356966400,143.7196044921875,269.09244049628114,11.114372761662493
Ross  733,Ross  733,Gaia DR3 4516199313406309504,18.120472147022262,288.6602687451435,19.3196359991605
V* U Sge,* U Sge,Gaia DR3 4516549576568929408,266.73919677734375,289.7017018251871,19.610483386305138
HD 347929,HD 347929,Gaia DR3 4527508855614868992,236.48880004882812,271.8505283074954,19.706300746451458
V* V775 Her,HD 175742,Gaia DR3 4533301804432654976,21.329784057266203,283.97240581277936,23.555387710673795
V* V1274 Her,V* V1274 Her,Gaia DR3 4549983418742839808,16.417072441973858,263.4709486275802,16.919716366320987
V* V1269 Her,BD+18  3387,Gaia DR3 4553778902819004160,513.765380859375,262.52074675395517,18.72757775886428
TYC 1563-1228-1,TYC 1563-1228-1,Gaia DR3 4557096473000131072,431.3691657320335,264.50342024846424,22.41841452691315
